,0,1
0,22.3511148,78.6677428
1,48.8566101,2.3514992
2,39.3262345,-4.8380649
3,8.0300284,-1.0800271
4,49.4871968,31.2718321
5,51.0834196,10.4234469
6,33.0955793,44.1749775
7,46.603354,1.8883335
8,47.8028273,13.057954916199
9,61.0666922,-107.9917071
10,12.44249325,122.160395163807
11,-1.3397668,-79.3666965
12,-4.7993356,114.5632032
13,40.3936294,47.7872508
14,54.7023545,-3.2765753
15,44.1534121,20.55144
16,39.7837304,-100.4458825
17,52.5001698,5.7480821
18,39.7837304,-100.4458825
19,42.6384261,12.674297
20,38.9597594,34.9249653
21,48.7411522,19.4528646
22,41.32373,63.9528098
23,52.865196,-7.9794599
24,-34.9964963,-64.9672817
25,26.2540493,29.2675469
26,60.5000209,9.0999715
27,58.7523778,25.3319078
28,7.5554942,80.7137847
29,1.4419683,38.4313975
30,-18.4554963,29.7468414
31,40.7696272,44.6736646
32,41.894802,12.4853384
33,22.5000485,-100.0000375
34,17.1750495,95.9999652
35,30.3308401,71.247499
36,52.0977181,19.0258159
37,2.8894434,-73.783892
38,-24.7761086,134.755
39,-23.3165935,-58.1693445
40,-10.3333333,-53.2
41,24.4768783,90.2932426
42,-6.8699697,-75.0458515
43,33.2588817,-86.8295337
44,46.7985624,8.2319736
45,31.649741,35.162072
46,14.5844444,29.4917691
47,22.350627,114.1849161
48,-31.7613365,-71.3187697
49,28.0000272,2.9999825
50,8.0018709,-66.1109318
51,59.6749712,14.5208584
52,64.6863136,97.7453061
53,12.0753083,-1.6880314
54,40.033265,-7.8896263
55,28.1083929,84.0917139
56,9.6000359,7.9999721
57,4.6125522,13.1535811
58,-1.9646631,30.0644358
59,29.2733964,47.4979476
60,-28.8166236,24.991639
61,1.5333554,32.2166578
62,-20.2759451,57.5703566
63,47.2000338,13.199959
64,25.3336984,51.2295295
65,13.8000382,-88.9140683
66,19.0974031,-70.3028026
67,1.357107,103.8194992
68,18.1850507,-77.3947693
69,8.3676771,49.083416
70,33.8439408,9.400138
71,-13.2687204,33.9301963
72,-6.5247123,35.7878438
73,33.7680065,66.2385139
74,40.7696272,44.6736646
75,35.000074,104.999927
76,47.2286086,65.2093197
77,-6.21004105,146.051241849312
78,10.8677845,-60.9821067
79,45.9852129,24.6859225
80,42.6073975,25.4856617
81,50.7333163,11.0747905
82,49.8167003,15.4749544
83,50.6402809,4.6667145
84,21.0000287,57.0036901
85,45.5643442,17.0118954
86,13.470062,-15.4900464
87,50.6402809,4.6667145
88,47.2000338,13.199959
89,4.8417097,-58.6416891
90,38.9953683,21.9877132
91,-17.0568696,-64.9912286
92,12.3724928,-84.8700308
93,-19.9227318,-43.9450948
94,48.6296972,9.1949534
95,-14.5186239,27.5599164
96,23.9739374,120.9820179
97,13.2904027,108.4265113
98,33.8750629,35.843409
99,15.2572432,-86.0755145
100,34.8152564,38.4266844289349
101,55.670249,10.3333283
102,36.5748441,139.2394179
103,22.3511148,78.6677428
104,31.1667049,36.941628
105,5.7499721,-9.3658524
106,32.9407495,52.9471344
107,16.3471243,47.8915271
108,39.5162234,-76.9382069
109,-18.1239696,179.0122737
110,14.4750607,-14.4529612
111,26.8234472,18.1236723
112,41.6809707,44.0287382
113,45.9896587,-94.6113288
114,11.85677545,42.7577845199437
115,47.1817585,19.5060937
116,8.6400349,-11.8400269
117,36.5581914,127.9408564
118,7.9897371,-5.5679458
119,15.6356088,-89.8988087
120,-29.6039267,28.3350193
121,8.3096067,-81.3066246
122,-9.7354344,162.8288542
123,-41.5000831,172.8344077
124,56.8406494,24.7537645
125,8.7800265,1.0199765
126,12.1360374,-61.6904045
127,13.5066394,104.869423
128,19.1399952,-72.3570972
129,53.4250605,27.6971358
130,41.5089324,74.724091
131,55.3500003,23.7499997
132,42.5407167,1.5732033
133,15.4113138,-61.3653618
134,-0.8999695,11.6899699
135,4.1413025,-56.0771187
136,41.6171214,21.7168387
137,63.2467777,25.9209164
138,-19.302233,34.9144977
139,49.2214561,-2.1358386
140,23.0131338,-80.8328748
141,-2.9814344,23.8222636
142,22.5000485,-100.0000375
143,24.7736546,-78.0000547
144,35.8885993,14.4476911
145,49.8158683,6.1296751
146,36.10674695,-5.33527718348356
147,41.7370229,-99.5873816
148,35.1695632,33.1396403027854
149,-26.5624806,31.3991317
150,13.8250489,-60.975036
151,-32.8755548,-56.0201525
152,10.2735633,-84.0739102
